date,aapl_price,aapl_volume,goog_price,goog_volume
08/19/2016,109.36,25108890,775.42,860899
08/18/2016,109.08,21918340,777.5,718882
08/17/2016,109.22,25328680,779.91,921666
08/16/2016,109.38,33754680,777.14,1027836
08/15/2016,109.48,25704330,782.44,938183
08/12/2016,108.18,18648700,783.22,739761
08/11/2016,107.93,27460070,784.85,971742
08/10/2016,108,23839880,784.68,784559
08/09/2016,108.81,26296260,784.26,1318457
08/08/2016,108.37,28010430,781.76,1106693
08/05/2016,107.48,39546610,782.22,1799478
08/04/2016,105.87,26781730,771.61,1139972
08/03/2016,105.79,30148360,773.18,1283186
08/02/2016,104.48,33770220,771.07,1782822
08/01/2016,106.05,38018910,772.88,2697699
07/29/2016,104.21,27697970,768.79,3830103
07/28/2016,104.34,38771840,745.91,3473040
07/27/2016,102.95,92143920,741.77,1509133
07/26/2016,96.67,53454620,738.42,1182993
07/25/2016,97.34,40290580,739.77,1031643
07/22/2016,98.66,28218240,742.74,1256741
07/21/2016,99.43,32690080,738.63,1022229
07/20/2016,99.96,26219110,741.19,1283931
07/19/2016,99.87,23766360,736.96,1225467
07/18/2016,99.83,36464530,733.78,1284740
07/15/2016,98.78,30031410,719.85,1277514
07/14/2016,98.79,38885980,720.95,949456
07/13/2016,96.87,25879680,716.98,933352
07/12/2016,97.42,24129530,720.64,1336112
07/11/2016,96.98,23317990,715.09,1107039
07/08/2016,96.68,28877500,705.63,1573909
07/07/2016,95.94,24460850,695.36,1303661
07/06/2016,95.53,30877540,697.77,1411080
07/05/2016,94.99,27553750,694.49,1462879
07/01/2016,95.89,25982080,699.21,1344387
06/30/2016,95.6,35783320,692.1,1597298
06/29/2016,94.4,36505420,684.11,1931436
06/28/2016,93.59,40387960,680.04,2169704
06/27/2016,92.04,45595680,668.26,2632011
06/24/2016,93.4,75219710,675.22,4442943
06/23/2016,96.1,32042290,701.87,2166183
06/22/2016,95.55,29124140,697.46,1182161
06/21/2016,95.91,35407050,695.94,1464836
06/20/2016,95.1,34355970,693.71,2080645
06/17/2016,95.33,60793260,691.72,3397720
06/16/2016,97.55,31251870,710.36,1981657
06/15/2016,97.14,29373050,718.92,1213386
06/14/2016,97.46,31890740,718.27,1303808
06/13/2016,97.34,37708360,718.36,1255199
06/10/2016,98.83,31672220,719.41,1213989
06/09/2016,99.65,26575570,728.58,987635
06/08/2016,98.94,20839950,728.28,1583325
06/07/2016,99.03,22378380,716.65,1336348
06/06/2016,98.63,23265200,716.55,1565955
06/03/2016,97.92,28487570,722.34,1225924
06/02/2016,97.72,40170200,730.4,1340664
06/01/2016,98.46,29139100,734.15,1251468
05/31/2016,99.86,42268040,735.72,2128358
05/27/2016,100.35,36299460,732.66,1974425
05/26/2016,100.41,56293490,724.12,1573635
05/25/2016,99.62,38258300,725.27,1629790
05/24/2016,97.9,35074380,720.09,1926828
05/23/2016,96.43,37977020,704.24,1326386
05/20/2016,95.22,31834020,709.74,1825830
05/19/2016,94.2,30417880,700.32,1668887
